0, 1500214987.003642
0, 1500214987.052023
0, 1500214987.123167
0, 1500214987.157579
0, 1500214987.205936
0, 1500214987.315336
0, 1500214987.384695
0, 1500214987.465248
0, 1500214987.540132
0, 1500214987.629732
0, 1500214987.689568
0, 1500214987.784636
0, 1500214987.843639
0, 1500214987.918375
0, 1500214988.010829
0, 1500214988.071322
16, 1500214988.151378
38, 1500214988.180643
55, 1500214988.234802
83, 1500214988.344768
114, 1500214988.394403
168, 1500214988.509220
216, 1500214988.574545
252, 1500214988.624194
277, 1500214988.687772
327, 1500214988.757352
361, 1500214988.851527
434, 1500214988.937401
480, 1500214989.017249
576, 1500214989.172227
687, 1500214989.361504
745, 1500214989.451113
791, 1500214989.536551
832, 1500214989.615402
873, 1500214989.709553
935, 1500214989.769971
981, 1500214989.865156
1023, 1500214989.943062
1078, 1500214990.043218
1137, 1500214990.126312
1179, 1500214990.186706
1207, 1500214990.240675
1251, 1500214990.323778
1338, 1500214990.489136
1437, 1500214990.656680
1507, 1500214990.741644
1580, 1500214990.880525
1647, 1500214991.029370
1692, 1500214991.083539
1732, 1500214991.173630
1789, 1500214991.267969
1829, 1500214991.324266
1845, 1500214991.393195
1901, 1500214991.463666
1928, 1500214991.504055
1957, 1500214991.566370
1995, 1500214991.626097
2037, 1500214991.706228
2065, 1500214991.741104
2078, 1500214991.789993
2132, 1500214991.875292
2159, 1500214991.963364
2229, 1500214992.045498
2242, 1500214992.104193
2282, 1500214992.154585
2342, 1500214992.247706
2398, 1500214992.352987
2427, 1500214992.436111
2468, 1500214992.465128
2482, 1500214992.544342
2547, 1500214992.653805
2595, 1500214992.734624
2628, 1500214992.813135
2676, 1500214992.912840
2722, 1500214992.982799
2774, 1500214993.069933
2804, 1500214993.138573
2842, 1500214993.227625
2891, 1500214993.312706
2932, 1500214993.391607
2971, 1500214993.426565
2995, 1500214993.510741
3030, 1500214993.576887
3068, 1500214993.671849
3113, 1500214993.741499
3137, 1500214993.828118
3180, 1500214993.876637
3210, 1500214993.980759
3262, 1500214994.055327
3285, 1500214994.111033
3308, 1500214994.160392
3350, 1500214994.279748
3380, 1500214994.333730
3403, 1500214994.404966
3442, 1500214994.464039
3465, 1500214994.529871
3498, 1500214994.599297
3515, 1500214994.659913
3538, 1500214994.705528
3556, 1500214994.745206
3578, 1500214994.795719
3614, 1500214994.928995
3676, 1500214995.048094
3695, 1500214995.114501
3713, 1500214995.194282
3739, 1500214995.269016
3772, 1500214995.303534
3772, 1500214995.373230
3805, 1500214995.433093
3833, 1500214995.503069
3864, 1500214995.602711
3892, 1500214995.716103
3911, 1500214995.800708
3932, 1500214995.860798
3957, 1500214995.930704
3981, 1500214996.014514
4008, 1500214996.109420
4021, 1500214996.183491
4044, 1500214996.264024
4069, 1500214996.338092
4083, 1500214996.394672
4120, 1500214996.534153
4158, 1500214996.702106
4171, 1500214996.756446
4185, 1500214996.816743
4205, 1500214996.865263
4218, 1500214996.930502
4231, 1500214996.989734
4243, 1500214997.050120
4254, 1500214997.109531
4276, 1500214997.179988
4292, 1500214997.261200
4317, 1500214997.358851
4329, 1500214997.452707
4348, 1500214997.552061
4370, 1500214997.636229
4381, 1500214997.710936
4394, 1500214997.770659
4408, 1500214997.865901
4415, 1500214997.905472
4427, 1500214997.984852
4428, 1500214998.071311
4433, 1500214998.116106
4430, 1500214998.205765
4434, 1500214998.235305
4431, 1500214998.311349
4410, 1500214998.370931
4394, 1500214998.455770
4375, 1500214998.494563
4316, 1500214998.862768
4297, 1500214998.903693
4276, 1500214998.992638
4234, 1500214999.085828
4212, 1500214999.160781
4192, 1500214999.241255
4170, 1500214999.301707
4146, 1500214999.387090
4113, 1500214999.442816
4075, 1500214999.576960
4028, 1500214999.691345
3997, 1500214999.754785
3971, 1500214999.795791
3956, 1500214999.859163
3931, 1500214999.901617
3900, 1500214999.964865
3876, 1500215000.053051
3829, 1500215000.179546
3778, 1500215000.293465
3735, 1500215000.363340
3687, 1500215000.467865
3643, 1500215000.537250
3569, 1500215000.652076
3484, 1500215000.788129
3453, 1500215000.833238
3433, 1500215000.887414
3409, 1500215000.973132
3372, 1500215001.013834
3348, 1500215001.106907
3303, 1500215001.172928
3275, 1500215001.217904
3258, 1500215001.293210
3237, 1500215001.337858
3221, 1500215001.393401
3200, 1500215001.473656
3179, 1500215001.530904
3148, 1500215001.584941
3119, 1500215001.674809
3044, 1500215001.804353
2932, 1500215001.974480
2906, 1500215002.057653
2863, 1500215002.132093
2795, 1500215002.257617
2738, 1500215002.367757
2728, 1500215002.396589
2701, 1500215002.467542
2677, 1500215002.517514
2660, 1500215002.592093
2636, 1500215002.676376
2628, 1500215002.743137
2605, 1500215002.821016
2586, 1500215002.901456
2582, 1500215002.975473
2576, 1500215003.040424
171, 1500215003.280313
175, 1500215003.335179
164, 1500215003.439537
173, 1500215003.560658
2581, 1500215003.623997
2585, 1500215003.724015
2585, 1500215003.780114
2589, 1500215003.814135
2590, 1500215003.884497
2587, 1500215003.949800
2590, 1500215004.009774
2602, 1500215004.084802
2603, 1500215004.124887
2606, 1500215004.219745
2606, 1500215004.303373
2608, 1500215004.394325
2616, 1500215004.448880
2622, 1500215004.522953
2623, 1500215004.598505
2634, 1500215004.658406
2637, 1500215004.709999
2652, 1500215004.773075
2662, 1500215004.829989
2673, 1500215004.903265
2682, 1500215004.969855
2699, 1500215005.042516
2705, 1500215005.106823
2722, 1500215005.156538
2728, 1500215005.226639
2730, 1500215005.287301
2738, 1500215005.321574
2748, 1500215005.410583
2758, 1500215005.457414
